#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       1.407094294450e-06       7.008154843421e-01      -1.231684125203e+00       2.151630609772e-03       2.618984224298e-09       6.547460560746e-09       4.483036375253e-16       1.309492112149e-09      -9.237630939021e-01       2.151630609772e-03       6.148476681491e-01       6.923305589973e-01      -1.231684125203e+00       2.151159237848e-03       2.012722384395e-04      -9.237630939021e-01       2.152584895431e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       7.924715400091e-10       2.152584895431e-03 
       2.111050297030e-06       1.050815484356e+00      -1.234412769237e+00       3.224350071485e-03       8.815006301783e-09       2.203751575446e-08       3.396352550521e-15       4.407503150891e-09      -9.258095769277e-01       3.224350071606e-03       6.146519842919e-01       6.919620264644e-01      -1.234412322577e+00       3.222760071260e-03       4.520209717171e-04      -9.258102544017e-01       3.227563453100e-03       5.226610444763e-13       3.500130765574e-13       3.815610162753e-12       4.008356918007e-09       3.226549386539e-03 
       3.167493592388e-06       1.575307582123e+00      -1.239514327264e+00       4.825609029872e-03       2.948538891399e-08       7.371347228497e-08       2.557592364820e-14       1.474269445699e-08      -9.296357454480e-01       4.825609031055e-03       6.143386068428e-01       6.913904477802e-01      -1.239511623915e+00       4.820249564465e-03       1.014216798811e-03      -9.296398387938e-01       4.836415894799e-03       7.784722347019e-12       5.213234576475e-12       3.056633530911e-11       2.026402640769e-08       4.831938062956e-03 
       4.753300254186e-06       2.360907137374e+00      -1.250199310703e+00       7.205310141207e-03       9.941167676860e-08       2.485291919215e-07       1.941873218747e-13       4.970583838430e-08      -9.376494830309e-01       7.205310150763e-03       6.136965097752e-01       6.902950143015e-01      -1.250185222436e+00       7.187267331286e-03       2.270456673818e-03      -9.376707625839e-01       7.241583994081e-03       9.086137019730e-11       6.084759667169e-11       2.315649191015e-10       1.023213363108e-07       7.226084866586e-03 
       7.134565137609e-06       3.536758660339e+00      -1.273192325494e+00       1.070751579605e-02       3.342850093493e-07       8.357125233734e-07       1.471109135755e-12       1.671425046747e-07      -9.548942441637e-01       1.070751586949e-02       6.123031119139e-01       6.880599518446e-01      -1.273120967535e+00       1.064694860601e-02       5.058694527842e-03      -9.550016960555e-01       1.082887949491e-02       1.028144061387e-09       6.885225359460e-10       1.742713826261e-09       5.156303558603e-07       1.077684736833e-02 
       1.071216466447e-05       5.294850090100e+00      -1.322930042999e+00       1.575154951132e-02       1.103449981892e-06       2.758624954731e-06       1.094712577670e-11       5.517249909462e-07      -9.921975327377e-01       1.575155006566e-02       6.092506232886e-01       6.833915651318e-01      -1.322572327219e+00       1.554954570154e-02       1.115996456639e-02      -9.927346297733e-01       1.615538843835e-02       1.152868980067e-08       7.720480797481e-09       1.303050518430e-08       2.588916201755e-06       1.598218194420e-02 
       1.609124265826e-05       7.919348575405e+00      -1.429717693670e+00       2.266412814696e-02       3.599132306304e-06       8.997830765759e-06       8.056936787890e-11       1.799566153152e-06      -1.072288275714e+00       2.266413227456e-02       6.025867972824e-01       6.735609455203e-01      -1.427946036773e+00       2.200005225687e-02       2.410363104185e-02      -1.074947331466e+00       2.399508857896e-02       1.278428693972e-07       8.561343703227e-08       9.630886158902e-08       1.290843681452e-05       2.342434865598e-02 
       2.418790628552e-05       1.182816403200e+01      -1.653112246364e+00       3.102005330063e-02       1.101222133416e-05       2.753055333540e-05       5.570118858211e-10       5.506110667079e-06      -1.239834244652e+00       3.102008341417e-02       5.882167098599e-01       6.529755960317e-01      -1.644543285960e+00       2.890613540782e-02       4.968538081292e-02      -1.252802418133e+00       3.533098815258e-02       1.390050317182e-06       9.308958604351e-07       6.963419836050e-07       6.351979549436e-05       3.348435328818e-02 
       3.469384267460e-05       1.682816403200e+01      -2.025587818402e+00       3.717938466816e-02       2.723797176034e-05       6.809492940084e-05       2.834474478961e-09       1.361898588017e-05      -1.519191346393e+00       3.717955332808e-02       5.627607644801e-01       6.174790358555e-01      -1.992490423798e+00       3.163568417128e-02       8.635380139423e-02      -1.570624350739e+00       4.903252476313e-02       1.109787557522e-05       7.432426243203e-06       3.858274647122e-06       2.544830540151e-04       4.396826649514e-02 
       4.536765894038e-05       2.182816403200e+01      -2.452614903277e+00       3.717486792847e-02       4.672335730454e-05       1.168083932613e-04       8.314186390723e-09       2.336167865227e-05      -1.839463381589e+00       3.717545233352e-02       5.304429973723e-01       5.735939819150e-01      -2.366563247891e+00       2.662091661872e-02       1.164253157122e-01      -1.979369971939e+00       6.159426574926e-02       5.023860393161e-05       3.364943012370e-05       1.323379719789e-05       7.004348609321e-04       5.120099087249e-02 
