# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.59375
# for k=1.04629e-05 to 1.08667 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.046294440213e-05      -9.706096384351e-04      -7.282198715028e-04      -7.282198964951e-04      -9.705998495988e-04      -4.793618454059e-04       1.692845196145e-06      -6.069353608479e-03       1.432970635592e-10      -7.283335717433e-04       5.523727761644e-01       5.521010211067e-01 
       1.317206659003e-05      -1.537986848670e-03      -1.154149799001e-03      -1.154149861776e-03      -1.537962264279e-03      -7.593382503605e-04       2.682597997493e-06      -9.617980846501e-03       2.269921938708e-10      -1.154329865885e-03       5.523721962445e-01       5.521005247124e-01 
       1.658264935604e-05      -2.436726826052e-03      -1.829201853800e-03      -1.829202011472e-03      -2.436665088987e-03      -1.202467872576e-03       4.250674836090e-06      -1.524021645642e-02       3.594611922527e-10      -1.829486899428e-03       5.523712772139e-01       5.520997380208e-01 
       2.087631866919e-05      -3.859897723894e-03      -2.899083774386e-03      -2.899084170397e-03      -3.859742711611e-03      -1.903266986809e-03       6.734463560371e-06      -2.414593836123e-02       5.689614220086e-10      -2.899534684712e-03       5.523698208511e-01       5.520984913001e-01 
       2.628172807736e-05      -6.112369468925e-03      -4.594723592652e-03      -4.594724587208e-03      -6.111980351189e-03      -3.010158849014e-03       1.066737443604e-05      -3.824820254203e-02       8.998700385199e-10      -4.595436087319e-03       5.523675131796e-01       5.520965156353e-01 
       3.308673534245e-05      -9.674514383925e-03      -7.282109611691e-03      -7.282112109196e-03      -9.673537980798e-03      -4.754932289743e-03       1.689150975478e-05      -6.056777698547e-02       1.421498102742e-09      -7.283233445028e-03       5.523638570419e-01       5.520933850563e-01 
       4.165373191592e-05      -1.530062515622e-02      -1.154127420997e-02      -1.154128048061e-02      -1.529817658407e-02      -7.496319606465e-03       2.673325051849e-05      -9.586412894226e-02       2.241137442164e-09      -1.154304183915e-02       5.523580656538e-01       5.520884250257e-01 
       5.243894160501e-05      -2.416856411093e-02      -1.829145657695e-02      -1.829147231690e-02      -2.416242963476e-02      -1.178131736037e-02       4.227407301875e-05      -1.516100282413e-01       3.522441407188e-09      -1.829422419850e-02       5.523488949508e-01       5.520805679324e-01 
       6.601671615414e-05      -3.810122950451e-02      -2.898942675411e-02      -2.898946624661e-02      -3.808588413428e-02      -1.842316002550e-02       6.676117772030e-05      -2.394728672719e-01       5.508857973191e-09      -2.899372841006e-02       5.523343804869e-01       5.520681253769e-01 
       8.311012156965e-05      -5.987886013701e-02      -4.594369403581e-02      -4.594379305980e-02      -5.984056682753e-02      -2.857765792093e-02       1.052121207428e-04      -3.775049913995e-01       8.546756214786e-09      -4.595030037331e-02       5.523114269713e-01       5.520484305691e-01 
       1.046294440213e-04      -9.363983165647e-02      -7.281220864386e-02      -7.281245667959e-02      -9.354464082072e-02      -4.374946878285e-02       1.652593407158e-04      -5.932270143281e-01       1.308804910188e-08      -7.282215408126e-02       5.522751738923e-01       5.520172797956e-01 
       1.317206659003e-04      -1.452911155774e-01      -1.153904548735e-01      -1.153910751324e-01      -1.450559305295e-01      -6.552932791724e-02       2.582116947238e-04      -9.275682240818e-01       1.961343497071e-08      -1.154049221534e-01       5.522180298043e-01       5.519680676074e-01 
       1.658264935604e-04      -2.226396003489e-01      -1.828587295644e-01      -1.828602766058e-01      -2.220641633475e-01      -9.455214638602e-02       4.000753879192e-04      -1.438846169544e+00       2.832510455415e-08      -1.828784963647e-01       5.521282381235e-01       5.518904664825e-01 
       2.087631866919e-04      -3.344669032391e-01      -2.897545921222e-01      -2.897584349258e-01      -3.330806236566e-01      -1.275039763623e-01       6.116399182153e-04      -2.203804277228e+00       3.826097695535e-08      -2.897783284869e-01       5.519878332018e-01       5.517684570563e-01 
       2.628172807736e-04      -4.868383674932e-01      -4.590883608523e-01      -4.590978448149e-01      -4.835804793318e-01      -1.498444586743e-01       9.152688272029e-04      -3.307667769521e+00       4.513822847677e-08      -4.591082422977e-01       5.517699257279e-01       5.515774990864e-01 
       3.308673534245e-04      -6.738023253717e-01      -7.272553144434e-01      -7.272784850925e-01      -6.664450959315e-01      -1.208701273219e-01       1.323218303776e-03      -4.805205711111e+00       3.691643824002e-08      -7.272471695663e-01       5.514355378152e-01       5.512807290224e-01 
       4.165373191592e-04      -8.606070108160e-01      -1.151761134995e+00      -1.151816860410e+00      -8.450320930843e-01       4.894875022481e-02       1.808893100193e-03      -6.621719040579e+00      -1.295658231902e-08      -1.151665818584e+00       5.509308016714e-01       5.508244311085e-01 
       5.243894160501e-04      -9.687340622867e-01      -1.823330268371e+00      -1.823461084749e+00      -9.390909803419e-01       5.053858824813e-01       2.255554051331e-03      -8.369103255633e+00      -1.478636345721e-07      -1.823028041648e+00       5.501860200966e-01       5.501338563412e-01 
       6.601671615414e-04      -9.057597137112e-01      -2.884802826545e+00      -2.885098916315e+00      -8.586407257401e-01       1.345935425814e+00       2.412884127880e-03      -9.165359736229e+00      -3.972812659379e-07      -2.884103131551e+00       5.491172423175e-01       5.491115478077e-01 
       8.311012156965e-04      -7.053422090163e-01      -4.560479092644e+00      -4.561114483593e+00      -6.510812073446e-01       2.217589865212e+00       2.006186350498e-03      -7.935948624349e+00      -6.576164113085e-07      -4.559174813759e+00       5.476247161162e-01       5.476395482118e-01 
       1.046294440213e-03      -6.367238044550e-01      -7.201410210919e+00      -7.202677006719e+00      -6.045809030737e-01       1.852189611512e+00       1.241929980440e-03      -5.111973819513e+00      -5.524490158278e-07      -7.199360731085e+00       5.455717012620e-01       5.455785151406e-01 
       1.317206659003e-03      -7.224966736422e-01      -1.135465067054e+01      -1.135695514046e+01      -7.226578482537e-01      -1.800134759470e-01       1.249281837156e-03      -4.573380355140e+00       5.326006856035e-08      -1.135156179298e+01       5.427433347555e-01       5.427424609663e-01 
       1.658264935604e-03      -5.539775849411e-01      -1.786742681197e+01      -1.787125065584e+01      -5.495732048858e-01       9.020496383933e-01       2.052214058031e-03      -7.550817653341e+00      -2.568181789299e-07      -1.786245497113e+01       5.388496044928e-01       5.388528722099e-01 
       2.087631866919e-03      -6.457186935817e-01      -2.803869042569e+01      -2.804475364138e+01      -6.199138967570e-01       2.500861242669e+00       1.157419804918e-03      -5.055526963892e+00      -7.515674328010e-07      -2.803083006053e+01       5.335241942280e-01       5.335238941255e-01 
