# Matter power spectrum P(k) at redshift z=50
# for k=9.79861e-06 to 1.23612 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.798614485329e-06       3.181500818870e-02 
       1.233572477595e-05       3.974494089357e-02 
       1.552975739335e-05       4.965140747557e-02 
       1.955080622148e-05       6.202704650276e-02 
       2.461300677329e-05       7.748727174921e-02 
       3.098593968756e-05       9.680085868902e-02 
       3.900898688099e-05       1.209281394956e-01 
       4.910940487282e-05       1.510686878182e-01 
       6.182507775248e-05       1.887208302401e-01 
       7.783316146875e-05       2.357558720004e-01 
       9.798614485329e-05       2.945105912114e-01 
       1.233572477595e-04       3.679023256915e-01 
       1.552975739335e-04       4.595718306917e-01 
       1.955080622148e-04       5.740599384292e-01 
       2.461300677329e-04       7.170246856983e-01 
       3.098593968756e-04       8.955055226664e-01 
       3.900898688099e-04       1.118239546556e+00 
       4.910940487282e-04       1.396029426851e+00 
       6.182507775248e-04       1.742150196234e+00 
       7.783316146875e-04       2.172755450770e+00 
       9.798614485329e-04       2.707190987758e+00 
       1.233572477596e-03       3.367885595843e+00 
       1.552975739335e-03       4.179926667694e+00 
       1.955080622148e-03       5.169154798352e+00 
       2.461300677329e-03       6.358294595302e+00 
       3.098593968756e-03       7.760502074317e+00 
       3.900898688099e-03       9.370370022447e+00 
       4.910940487282e-03       1.115545820487e+01 
       6.182507775248e-03       1.305055559268e+01 
       7.783316146875e-03       1.494852023454e+01 
       9.798614485329e-03       1.667700223278e+01 
       1.233572477596e-02       1.798237339663e+01 
       1.552975739325e-02       1.854053390867e+01 
       1.955080578388e-02       1.802136314379e+01 
       2.461275129548e-02       1.626723587768e+01 
       3.095745048322e-02       1.358621241708e+01 
       3.823149688140e-02       1.102504986544e+01 
       4.404440919446e-02       9.658993575079e+00 
       4.832903016282e-02       8.985022609737e+00 
       5.191409474358e-02       8.567868240400e+00 
       5.513984339251e-02       8.256884243589e+00 
       5.816200403022e-02       7.985710031489e+00 
       6.106467992496e-02       7.719252354867e+00 
       6.389903408725e-02       7.437971596041e+00 
       6.669904231705e-02       7.132131374050e+00 
       6.948885819482e-02       6.798826965646e+00 
       7.228663191788e-02       6.440890328779e+00 
       7.510665355788e-02       6.065415513117e+00 
       7.796063309997e-02       5.682506198721e+00 
       8.085850408115e-02       5.304150883999e+00 
       8.380894912970e-02       4.942511530657e+00 
       8.681975539225e-02       4.608740976032e+00 
       8.989806168677e-02       4.311823532749e+00 
       9.305053433300e-02       4.057522042771e+00 
       9.628349456672e-02       3.847934360509e+00 
       9.960301220345e-02       3.681232466610e+00 
       1.030149752196e-01       3.551598628229e+00 
       1.065251418017e-01       3.449550568168e+00 
       1.101391794260e-01       3.362687728291e+00 
       1.138626942343e-01       3.277025555976e+00 
       1.177012531226e-01       3.179060594440e+00 
       1.216604003896e-01       3.058361752749e+00 
       1.257456704150e-01       2.910052416120e+00 
       1.299625975891e-01       2.736318003706e+00 
       1.343167245482e-01       2.546228273426e+00 
       1.359249694169e-01       2.476120526394e+00 
       1.388136096633e-01       2.353685742283e+00 
       1.434588346653e-01       2.173966581393e+00 
       1.482580132440e-01       2.019832514294e+00 
       1.532168014327e-01       1.898332610015e+00 
       1.583409105760e-01       1.809094772674e+00 
       1.636361236622e-01       1.744388128681e+00 
       1.691083157985e-01       1.692018835307e+00 
       1.747634796028e-01       1.635299265306e+00 
       1.806077562882e-01       1.561936747601e+00 
       1.866474732325e-01       1.468510562183e+00 
       1.928891888564e-01       1.361692680137e+00 
       1.993397456913e-01       1.254411773028e+00 
       2.060063326114e-01       1.159910020668e+00 
       2.128965573475e-01       1.086341271419e+00 
       2.200185306073e-01       1.033161532152e+00 
       2.273809634139e-01       9.914205760338e-01 
       2.349932796758e-01       9.488069735668e-01 
       2.428657465308e-01       8.964595578246e-01 
       2.510096257204e-01       8.340907492291e-01 
       2.594373501892e-01       7.701180762506e-01 
       2.681627313499e-01       7.146750141346e-01 
       2.772012040993e-01       6.718295613890e-01 
       2.865701188719e-01       6.377220530225e-01 
       2.962890929676e-01       6.040227496929e-01 
       3.063804374071e-01       5.654047123818e-01 
       3.168696810776e-01       5.238925797368e-01 
       3.277862216220e-01       4.857362157936e-01 
       3.391641433868e-01       4.544889932627e-01 
       3.510432583498e-01       4.272883559408e-01 
       3.634704487670e-01       3.993765308565e-01 
       3.765014242481e-01       3.699386493150e-01 
       3.902030576144e-01       3.422413675571e-01 
       4.046565441736e-01       3.181726832775e-01 
       4.199617569738e-01       2.956445999181e-01 
       4.362433801399e-01       2.725686076032e-01 
       4.536597563204e-01       2.504366248597e-01 
       4.724160030419e-01       2.303567347573e-01 
       4.927840775192e-01       2.106261725666e-01 
       5.151346062271e-01       1.912964812451e-01 
       5.399895638190e-01       1.730166389259e-01 
       5.681139122589e-01       1.548998560843e-01 
       6.006846616483e-01       1.371961412697e-01 
       6.396249894220e-01       1.194759068667e-01 
       6.883179763422e-01       1.015570776583e-01 
       7.532511194423e-01       8.301261391835e-02 
       8.478779062055e-01       6.351800595040e-02 
       9.990346812353e-01       4.359828533230e-02 
       1.236124792447e+00       2.652556556143e-02 
