# Matter power spectrum P(k) at redshift z=0.645161
# for k=9.05385e-06 to 1.14305 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.053847577371e-06       4.311027614677e+01 
       1.139811878966e-05       5.385550190255e+01 
       1.434938139096e-05       6.727890666244e+01 
       1.806480087660e-05       8.404794492120e+01 
       2.274223688255e-05       1.049963506396e+02 
       2.863077993249e-05       1.311654996819e+02 
       3.604401641650e-05       1.638560006094e+02 
       4.537672820986e-05       2.046919845113e+02 
       5.712591624747e-05       2.557011015807e+02 
       7.191726763596e-05       3.194138335446e+02 
       9.053847577371e-05       3.989863330936e+02 
       1.139811878966e-04       4.983514824903e+02 
       1.434938139096e-04       6.224029443858e+02 
       1.806480087660e-04       7.772161385970e+02 
       2.274223688255e-04       9.703074095592e+02 
       2.863077993249e-04       1.210926779338e+03 
       3.604401641650e-04       1.510369084392e+03 
       4.537672820986e-04       1.882272386730e+03 
       5.712591624747e-04       2.342853356598e+03 
       7.191726763596e-04       2.911006672444e+03 
       9.053847577371e-04       3.608104401470e+03 
       1.139811878966e-03       4.457106982257e+03 
       1.434938139096e-03       5.481219563760e+03 
       1.806480087660e-03       6.700312804395e+03 
       2.274223688256e-03       8.126034523327e+03 
       2.863077993249e-03       9.754670822335e+03 
       3.604401641650e-03       1.155712060440e+04 
       4.537672820986e-03       1.346818107637e+04 
       5.712591624747e-03       1.537745780180e+04 
       7.191726763596e-03       1.711787995698e+04 
       9.053847577371e-03       1.846202451006e+04 
       1.139811878966e-02       1.915445692633e+04 
       1.434938139094e-02       1.895213329426e+04 
       1.806480075048e-02       1.764426313127e+04 
       2.274213757582e-02       1.518326151075e+04 
       2.861665123590e-02       1.197312726838e+04 
       3.556206896054e-02       9.071238738240e+03 
       4.146444296494e-02       7.567357066827e+03 
       4.573692300977e-02       6.922965069495e+03 
       4.925267238322e-02       6.579906418834e+03 
       5.238818863556e-02       6.356787803981e+03 
       5.531066838808e-02       6.177873515763e+03 
       5.810833979084e-02       6.003695355955e+03 
       6.083399091021e-02       5.811670232564e+03 
       6.352224002075e-02       5.589470328729e+03 
       6.619745346548e-02       5.332355265155e+03 
       6.887779102885e-02       5.041785219110e+03 
       7.157745054793e-02       4.724319688223e+03 
       7.430799638346e-02       4.390405744000e+03 
       7.707918736362e-02       4.052944074116e+03 
       7.989951496459e-02       3.725689780928e+03 
       8.277656547831e-02       3.421651450536e+03 
       8.571727081891e-02       3.151692528073e+03 
       8.872808635399e-02       2.923501933006e+03 
       9.181511942426e-02       2.740992955997e+03 
       9.498422362722e-02       2.604059272660e+03 
       9.824106875788e-02       2.508546566351e+03 
       1.015911930812e-01       2.446353136488e+03 
       1.050400425631e-01       2.405754707475e+03 
       1.085930003584e-01       2.372256553464e+03 
       1.122554089814e-01       2.330323995013e+03 
       1.160325870045e-01       2.266070928581e+03 
       1.199298417420e-01       2.170438075136e+03 
       1.239524791232e-01       2.041857694460e+03 
       1.246261216351e-01       2.017928585552e+03 
       1.281058117854e-01       1.887255002382e+03 
       1.323951663118e-01       1.720655686818e+03 
       1.368258904662e-01       1.559553777535e+03 
       1.414033612348e-01       1.420198867981e+03 
       1.461329944567e-01       1.313475267909e+03 
       1.510202568081e-01       1.242553817803e+03 
       1.560706808938e-01       1.202382595898e+03 
       1.612898841907e-01       1.181459733777e+03 
       1.666835925865e-01       1.161613445712e+03 
       1.722576692565e-01       1.125690839879e+03 
       1.780181496341e-01       1.064379976306e+03 
       1.839712832602e-01       9.806621657196e+02 
       1.901235833435e-01       8.880063591497e+02 
       1.964818849497e-01       8.036002204442e+02 
       2.030534128659e-01       7.405073753740e+02 
       2.098458603722e-01       7.020924491269e+02 
       2.168674804166e-01       6.809341380731e+02 
       2.241271910537e-01       6.626772516864e+02 
       2.316346974917e-01       6.334519193040e+02 
       2.394006337485e-01       5.883147457496e+02 
       2.474367277759e-01       5.349599457792e+02 
       2.557559950530e-01       4.872039915025e+02 
       2.643729671581e-01       4.540306657845e+02 
       2.733039638413e-01       4.339205284589e+02 
       2.825674198163e-01       4.166893505140e+02 
       2.921842811524e-01       3.924910232833e+02 
       3.021784911644e-01       3.607128274441e+02 
       3.125775926804e-01       3.295151779424e+02 
       3.234134834091e-01       3.064496883976e+02 
       3.347233752300e-01       2.902157013006e+02 
       3.465510287874e-01       2.734113586144e+02 
       3.589483652809e-01       2.522293420398e+02 
       3.719776035741e-01       2.309402184668e+02 
       3.857141423323e-01       2.143027584268e+02 
       4.002505205106e-01       2.003286635793e+02 
       4.157019747418e-01       1.845874758755e+02 
       4.322144234174e-01       1.683904975217e+02 
       4.499762482486e-01       1.549736298216e+02 
       4.692362210135e-01       1.420264700071e+02 
       4.903317652731e-01       1.284181411993e+02 
       5.137353913149e-01       1.162451385938e+02 
       5.401347840938e-01       1.040317484868e+02 
       5.705790685035e-01       9.212954045669e+01 
       6.067645006480e-01       8.028559633243e+01 
       6.516369486673e-01       6.842303964414e+01 
       7.107651615385e-01       5.619008990120e+01 
       7.955871795333e-01       4.340507663671e+01 
       9.295080668685e-01       3.026584829616e+01 
       1.143053685223e+00       1.860190102183e+01 
