# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=16
# for k=9.16322e-06 to 1.15736 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.163224866254e-06      -1.043009984123e-04      -7.822853656815e-05      -7.822853706210e-05      -1.043009237603e-04      -6.392697623287e-05       1.100750722243e-06       6.600793846139e-05       4.794576799202e-10      -7.833414711667e-05       6.021109241096e-01       5.995853500752e-01 
       1.153581663811e-05      -1.653024333346e-04      -1.239838274658e-04      -1.239838287065e-04      -1.653022458222e-04      -1.013134368843e-04       1.744548136203e-06       1.046153768155e-04       7.598591895892e-10      -1.241511943686e-04       6.021105648173e-01       5.995850688286e-01 
       1.452273271152e-05      -2.619778872348e-04      -1.965010045472e-04      -1.965010076638e-04      -2.619774162442e-04      -1.605609222216e-04       2.764862742695e-06       1.658039131664e-04       1.204220048636e-09      -1.967662266954e-04       6.021099953799e-01       5.995846230937e-01 
       1.828303725922e-05      -4.151848310297e-04      -3.114328040511e-04      -3.114328118796e-04      -4.151836480323e-04      -2.544466397700e-04       4.381862360008e-06       2.627808063755e-04       1.908370103419e-09      -3.118530611036e-04       6.021090928814e-01       5.995839166523e-01 
       2.301698021041e-05      -6.579680051640e-04      -4.935869766115e-04      -4.935869962759e-04      -6.579650339162e-04      -4.032073609864e-04       6.944405116859e-06       4.164775170443e-04       3.024086121665e-09      -4.942528087789e-04       6.021076625871e-01       5.995827970380e-01 
       2.897666128965e-05      -1.042669347000e-03      -7.822807437976e-04      -7.822807931925e-04      -1.042661884788e-03      -6.388810158022e-04       1.100520426924e-05       6.600689032612e-04       4.791653390704e-09      -7.833354380019e-04       6.021053958033e-01       5.995810226374e-01 
       3.647945524650e-05      -1.652168782521e-03      -1.239826664766e-03      -1.239826788840e-03      -1.652150043163e-03      -1.012157362682e-03       1.743972206696e-05       1.046129964651e-03       7.591244667876e-09      -1.241496789128e-03       6.021018034540e-01       5.995782105182e-01 
       4.592491321822e-05      -2.617630190966e-03      -1.964980884157e-03      -1.964981195817e-03      -2.617583139221e-03      -1.603155738334e-03       2.763413926136e-05       1.657977106948e-03       1.202374997776e-08      -1.967624203453e-03       6.020961105634e-01       5.995737538103e-01 
       5.781604028486e-05      -4.146452516856e-03      -3.114254793795e-03      -3.114255576645e-03      -4.146334405392e-03      -2.538349030043e-03       4.378223005141e-05       2.627681912324e-03       1.903767119906e-08      -3.118435012142e-03       6.020870900667e-01       5.995666916461e-01 
       7.278608232393e-05      -6.566132201064e-03      -4.935685790412e-03      -4.935687756827e-03      -6.565835825523e-03      -4.016664754659e-03       6.935291642984e-05       4.164453423235e-03       3.012494619659e-08      -4.942287987405e-03       6.020727971182e-01       5.995555001071e-01 
       9.163224866254e-05      -1.039268577657e-02      -7.822345367261e-03      -7.822350306615e-03      -1.039194253595e-02      -6.350066588960e-03       1.098236709953e-04       6.599874958548e-03       4.762511386220e-08      -7.832751425582e-03       6.020501549018e-01       5.995377674685e-01 
       1.153581663811e-04      -1.643635574884e-02      -1.239710622441e-02      -1.239711863128e-02      -1.643449366570e-02      -1.002429256803e-02       1.738242682131e-04       1.045917753110e-02       7.518077917961e-08      -1.241345397811e-02       6.020142957772e-01       5.995096747776e-01 
       1.452273271152e-04      -2.596232071812e-02      -1.964689496330e-02      -1.964692612706e-02      -2.595766264659e-02      -1.578737982313e-02       2.749051783699e-04       1.657442480888e-02       1.184010866894e-07      -1.967244178336e-02       6.019575283680e-01       5.994651795803e-01 
       1.828303725922e-04      -4.092847183251e-02      -3.113523260113e-02      -3.113531087745e-02      -4.091684768123e-02      -2.477098728402e-02       4.342205499366e-04       2.626266269643e-02       1.857706044338e-07      -3.117481450848e-02       6.018677230311e-01       5.993947321915e-01 
       2.301698021041e-04      -6.432054113569e-02      -4.933849847512e-02      -4.933869508232e-02      -6.429164471851e-02      -3.863447728958e-02       6.845025337144e-04       4.160765160875e-02       2.897272935986e-07      -4.939896813485e-02       6.017258042814e-01       5.992832634214e-01 
       2.897666128965e-04      -1.005816256541e-01      -7.817739982499e-02      -7.817789362414e-02      -1.005102314035e-01      -5.967728902555e-02       1.075646881050e-03       6.590091469944e-02       4.474988305696e-07      -7.826761169568e-02       6.015019100357e-01       5.991070552216e-01 
       3.647945524650e-04      -1.560500913287e-01      -1.238556295499e-01      -1.238568696957e-01      -1.558754173329e-01      -9.073897746235e-02       1.681847992480e-03       1.043269725908e-01       6.803371193670e-07      -1.239847074983e-01       6.011496304512e-01       5.988289293334e-01 
       4.592491321822e-04      -2.390914106360e-01      -1.961799820849e-01      -1.961830963112e-01      -2.386707172026e-01      -1.343970199886e-01       2.608779915155e-03       1.650040010873e-01       1.007464279630e-06      -1.963505603165e-01       6.005976669847e-01       5.983909864707e-01 
       5.781604028486e-04      -3.590755064366e-01      -3.106303598010e-01      -3.106381789036e-01      -3.580877269235e-01      -1.902873480798e-01       3.995351310565e-03       2.604805078972e-01       1.425890441557e-06      -3.108188491884e-01       5.997384908021e-01       5.977039920302e-01 
       7.278608232393e-04      -5.223223180810e-01      -4.915867283210e-01      -4.916063552931e-01      -5.200977071558e-01      -2.480980953946e-01       5.995199014991e-03       4.095920687960e-01       1.857681307799e-06      -4.916932930173e-01       5.984146728367e-01       5.966326997349e-01 
       9.163224866254e-04      -7.218462014019e-01      -7.773162081265e-01      -7.773654549692e-01      -7.171744453163e-01      -2.723105344704e-01       8.704496121456e-03       6.386617332288e-01       2.035163744895e-06      -7.770521626903e-01       5.964065237307e-01       5.949776104015e-01 
       1.153581663811e-03      -9.186353447728e-01      -1.227557899772e+00      -1.227681336661e+00      -9.100070997056e-01      -1.760430910468e-01       1.197993823649e-02       9.783707410122e-01       1.304230273772e-06      -1.226228182722e+00       5.934170684563e-01       5.924437447379e-01 
